Row ID,Order ID,Order Date,Order Month,Order Year,Ship Date,Ship Mode,Customer ID,Customer Name,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,DL-2016-152156,8/11/2016,8,2016,11/11/2016,Second Class,CG-12520,Claire Gute,India,Delhi,Delhi,110001,North,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.91
2,MP-2016-152156,8/11/2016,8,2016,11/11/2016,Second Class,CG-12520,Claire Gute,India,Bhopal,Madhya Pradesh,462001,Central,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.58
3,KL-2016-138688,12/6/2016,12,2016,16-06-2016,Second Class,DV-13045,Darrin Van Huff,India,Kochi,Kerala,682001,South,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.87
4,AS-2015-108966,11/10/2015,11,2015,18-10-2015,Standard Class,SO-20335,Sean O'Donnell,India,Guwahati,Assam,781001,East,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,383.03
5,DL-2015-108966,11/10/2015,11,2015,18-10-2015,Standard Class,SO-20335,Sean O'Donnell,India,Delhi,Delhi,110001,North,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52
6,KL-2014-115812,9/6/2014,9,2014,14-06-2014,Standard Class,BH-11710,Brosina Hoffman,India,Kochi,Kerala,682001,South,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.17
7,RJ-2014-115812,9/6/2014,9,2014,14-06-2014,Standard Class,BH-11710,Brosina Hoffman,India,Jaipur,Rajasthan,302001,North,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.97
8,MH-2014-115812,9/6/2014,9,2014,14-06-2014,Standard Class,BH-11710,Brosina Hoffman,India,Pune,Maharashtra,411001,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.15,6,0.2,90.72
9,DL-2014-115812,9/6/2014,9,2014,14-06-2014,Standard Class,BH-11710,Brosina Hoffman,India,Delhi,Delhi,110001,North,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.5,3,0.2,5.78
10,CH-2014-115812,9/6/2014,9,2014,14-06-2014,Standard Class,BH-11710,Brosina Hoffman,India,Chandigarh,Chandigarh,160001,North,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
11,GJ-2014-115812,9/6/2014,9,2014,14-06-2014,Standard Class,BH-11710,Brosina Hoffman,India,Ahmedabad,Gujarat,380001,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,0.2,85.31
12,TS-2014-115812,9/6/2014,9,2014,14-06-2014,Standard Class,BH-11710,Brosina Hoffman,India,Hyderabad,Telangana,500001,South,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.42,4,0.2,68.36
13,WB-2017-114412,4/15/2017,4,2017,20-04-2017,Standard Class,AA-10480,Andrew Allen,India,Kolkata,West Bengal,700001,East,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.55,3,0.2,5.44
14,KA-2016-161389,5/12/2016,5,2016,10/12/2016,Standard Class,IM-15070,Irene Maddox,India,Bengaluru,Karnataka,560001,South,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3,0.2,132.59
15,KL-2015-118983,11/22/2015,11,2015,26-11-2015,Standard Class,HP-14815,Harold Pawlan,India,Kochi,Kerala,682001,South,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,123.86
